"","WT 1","WT 2","WT 3","KO 1","KO 2","KO 3"
"ENSMUSG00000000001",1760,2287,3321,1490,2144,2308
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",36,49,48,48,53,53
"ENSMUSG00000000031",1,7,10,6,7,5
"ENSMUSG00000000037",59,78,77,59,64,54
"ENSMUSG00000000049",12,20,14,8,17,15
"ENSMUSG00000000056",2311,2674,3839,2021,2992,3204
"ENSMUSG00000000058",2523,2418,4141,1860,2164,3109
"ENSMUSG00000000078",2962,3187,4669,2139,3202,3357
"ENSMUSG00000000085",1670,1966,2454,1353,1768,1947
"ENSMUSG00000000088",1848,2308,3655,1573,2372,2396
"ENSMUSG00000000093",167,140,207,111,155,145
"ENSMUSG00000000094",12,20,17,8,27,11
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",82,84,195,59,111,99
"ENSMUSG00000000125",83,73,168,81,142,126
"ENSMUSG00000000126",1509,1713,1969,1003,1406,1255
"ENSMUSG00000000127",519,692,871,441,667,655
"ENSMUSG00000000131",3224,3903,5073,2682,3952,4014
"ENSMUSG00000000134",1925,2409,3118,1661,2357,2307
"ENSMUSG00000000142",1586,1793,2323,1312,1860,1574
"ENSMUSG00000000148",1066,1194,1658,965,1167,1254
"ENSMUSG00000000149",4186,4464,7991,4124,7095,5174
"ENSMUSG00000000154",29,14,30,14,22,38
"ENSMUSG00000000157",2,1,4,0,2,1
"ENSMUSG00000000159",17,8,8,9,12,10
"ENSMUSG00000000167",74,83,123,55,77,78
"ENSMUSG00000000168",3848,4430,6194,3474,4651,4478
"ENSMUSG00000000171",2777,3764,4939,2716,3609,3537
"ENSMUSG00000000182",23,18,21,17,15,11
"ENSMUSG00000000183",0,0,1,0,0,0
"ENSMUSG00000000184",3676,4753,6582,2944,5016,5398
"ENSMUSG00000000194",2386,2771,3714,1922,2769,2863
"ENSMUSG00000000197",5119,5363,7678,4085,5119,5613
"ENSMUSG00000000202",754,861,1523,972,1233,1055
"ENSMUSG00000000204",3,1,5,0,2,2
