"","WT 1","WT 2","WT 3","KO 1","KO 2","KO 3"
"ENSMUSG00000000001",2,2,3,5,8,3
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",0,0,0,0,0,0
"ENSMUSG00000000031",0,2,1,2,2,0
"ENSMUSG00000000037",0,0,0,0,0,0
"ENSMUSG00000000049",0,0,0,0,0,0
"ENSMUSG00000000056",2,1,3,4,7,0
"ENSMUSG00000000058",1,3,1,9,6,1
"ENSMUSG00000000078",4,6,5,6,7,1
"ENSMUSG00000000085",0,0,0,4,1,2
"ENSMUSG00000000088",3,2,5,9,3,4
"ENSMUSG00000000093",2,0,0,3,0,0
"ENSMUSG00000000094",0,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",1,0,0,1,1,0
"ENSMUSG00000000125",0,0,0,0,0,0
"ENSMUSG00000000126",1,0,0,1,1,0
"ENSMUSG00000000127",4,2,1,3,3,1
"ENSMUSG00000000131",5,0,2,18,9,4
"ENSMUSG00000000134",1,0,3,4,3,2
"ENSMUSG00000000142",1,3,0,4,6,1
"ENSMUSG00000000148",0,0,1,2,1,0
"ENSMUSG00000000149",1,4,1,8,11,2
"ENSMUSG00000000154",0,0,0,0,0,0
"ENSMUSG00000000157",0,0,0,0,0,0
"ENSMUSG00000000159",0,0,0,0,0,0
"ENSMUSG00000000167",0,0,0,0,0,0
"ENSMUSG00000000168",3,5,3,19,15,4
"ENSMUSG00000000171",3,2,0,7,7,1
"ENSMUSG00000000182",0,1,1,2,0,0
"ENSMUSG00000000183",0,1,0,0,0,0
"ENSMUSG00000000184",8,7,6,9,15,3
"ENSMUSG00000000194",2,0,0,4,5,3
"ENSMUSG00000000197",12,4,4,32,22,7
"ENSMUSG00000000202",0,0,0,0,3,1
"ENSMUSG00000000204",0,0,0,0,1,0
"ENSMUSG00000000214",0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0
"ENSMUSG00000000223",6,2,6,15,15,3
"ENSMUSG00000000244",0,0,0,0,0,0
"ENSMUSG00000000247",1,2,2,11,5,1
"ENSMUSG00000000248",0,0,0,0,0,0
"ENSMUSG00000000253",2,3,4,7,6,2
"ENSMUSG00000000263",0,0,0,2,0,0
"ENSMUSG00000000266",0,3,2,11,10,1
"ENSMUSG00000000275",11,9,3,1,4,2
"ENSMUSG00000000276",6,6,3,20,19,5
"ENSMUSG00000000278",0,1,0,1,1,2
"ENSMUSG00000000282",5,0,1,10,5,3
"ENSMUSG00000000290",0,0,0,1,0,0
"ENSMUSG00000000295",0,2,2,2,2,2
"ENSMUSG00000000296",0,0,1,2,0,0
"ENSMUSG00000000301",0,0,0,0,0,0
"ENSMUSG00000000303",3,0,2,1,3,0
"ENSMUSG00000000305",1,1,1,2,5,1
"ENSMUSG00000000308",8,3,7,20,18,3
"ENSMUSG00000000317",0,0,0,0,1,0
"ENSMUSG00000000318",0,0,0,0,0,0
"ENSMUSG00000000320",0,0,0,0,0,0
"ENSMUSG00000000325",4,2,2,4,2,1
"ENSMUSG00000000326",4,2,2,5,7,0
"ENSMUSG00000000339",0,0,1,5,1,3
"ENSMUSG00000000340",1,0,0,4,6,1
"ENSMUSG00000000346",2,1,3,9,9,3
"ENSMUSG00000000355",2,0,1,2,4,0
"ENSMUSG00000000359",0,0,0,0,1,0
"ENSMUSG00000000365",0,0,0,0,0,0
"ENSMUSG00000000374",7,1,2,26,21,8
"ENSMUSG00000000378",1,1,3,2,5,1
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",2,2,2,5,1,2
"ENSMUSG00000000385",0,0,0,0,0,0
"ENSMUSG00000000386",0,0,0,0,0,0
"ENSMUSG00000000392",0,1,0,1,0,1
"ENSMUSG00000000394",0,0,0,0,0,0
"ENSMUSG00000000399",16,11,3,16,18,4
"ENSMUSG00000000402",0,0,0,0,0,0
"ENSMUSG00000000409",2,1,0,0,0,0
"ENSMUSG00000000411",0,0,0,0,0,0
"ENSMUSG00000000416",7,5,3,8,11,3
"ENSMUSG00000000420",2,2,2,3,6,3
"ENSMUSG00000000435",0,0,0,0,0,0
"ENSMUSG00000000439",1,0,0,0,1,0
"ENSMUSG00000000440",1,0,0,0,0,0
"ENSMUSG00000000441",2,1,1,2,9,1
"ENSMUSG00000000486",0,0,0,0,0,0
"ENSMUSG00000000489",5,1,1,6,6,5
"ENSMUSG00000000530",0,0,2,2,0,0
"ENSMUSG00000000531",1,3,0,4,1,0
"ENSMUSG00000000532",14,12,13,35,21,14
"ENSMUSG00000000538",9,8,3,40,35,11
"ENSMUSG00000000544",0,0,0,0,0,0
"ENSMUSG00000000552",4,4,3,12,5,6
"ENSMUSG00000000555",2,0,0,0,0,1
"ENSMUSG00000000560",10,4,4,15,27,7
"ENSMUSG00000000561",0,2,0,6,5,2
"ENSMUSG00000000562",0,1,0,0,0,0
"ENSMUSG00000000563",3,4,1,9,8,0
"ENSMUSG00000000567",3,1,0,4,3,2
"ENSMUSG00000000568",9,4,1,11,13,1
"ENSMUSG00000000579",0,0,0,0,0,0
"ENSMUSG00000000581",1,0,1,5,8,0
"ENSMUSG00000000594",4,1,0,11,3,1
"ENSMUSG00000000600",2,2,2,4,4,0
"ENSMUSG00000000605",13,7,11,27,43,7
"ENSMUSG00000000606",0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0
"ENSMUSG00000000627",5,3,1,12,5,1
"ENSMUSG00000000628",2,2,0,2,0,0
"ENSMUSG00000000631",9,5,3,23,18,5
"ENSMUSG00000000632",6,2,3,8,25,6
"ENSMUSG00000000673",0,0,0,0,0,0
"ENSMUSG00000000682",0,0,1,0,0,0
"ENSMUSG00000000686",0,0,0,1,3,0
"ENSMUSG00000000690",0,0,0,0,0,0
"ENSMUSG00000000693",0,0,0,1,0,0
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0
"ENSMUSG00000000708",1,0,1,0,1,0
"ENSMUSG00000000711",0,0,1,1,1,1
"ENSMUSG00000000724",0,1,0,0,0,0
"ENSMUSG00000000730",0,0,0,0,0,0
"ENSMUSG00000000731",0,0,0,0,0,0
"ENSMUSG00000000732",0,0,0,0,0,0
"ENSMUSG00000000738",1,3,2,4,2,2
"ENSMUSG00000000739",0,0,0,1,0,0
"ENSMUSG00000000740",23,20,14,29,35,23
"ENSMUSG00000000743",1,1,0,0,2,0
"ENSMUSG00000000751",4,0,2,4,0,2
"ENSMUSG00000000753",1,1,1,9,4,1
"ENSMUSG00000000759",1,4,1,6,6,3
"ENSMUSG00000000766",0,0,0,2,1,0
"ENSMUSG00000000776",2,2,1,4,1,0
"ENSMUSG00000000782",0,0,1,0,0,0
"ENSMUSG00000000787",2,4,3,22,9,3
"ENSMUSG00000000791",0,0,0,0,1,0
"ENSMUSG00000000792",1,0,1,3,1,0
"ENSMUSG00000000794",2,0,1,0,0,1
"ENSMUSG00000000804",13,16,9,58,42,11
"ENSMUSG00000000805",1,0,0,1,1,1
"ENSMUSG00000000811",1,0,0,0,0,0
"ENSMUSG00000000817",0,0,0,0,0,0
"ENSMUSG00000000823",14,12,14,27,12,15
"ENSMUSG00000000826",16,15,14,60,51,11
"ENSMUSG00000000827",1,2,1,7,8,1
"ENSMUSG00000000838",3,5,2,18,18,6
"ENSMUSG00000000861",5,5,1,19,9,5
"ENSMUSG00000000869",0,0,0,0,1,0
"ENSMUSG00000000876",1,1,0,2,5,1
"ENSMUSG00000000881",4,0,4,21,16,4
"ENSMUSG00000000884",0,0,0,0,0,0
"ENSMUSG00000000889",0,0,0,0,0,0
"ENSMUSG00000000901",0,0,0,1,0,0
"ENSMUSG00000000902",1,1,1,2,2,1
"ENSMUSG00000000903",0,0,0,0,0,0
"ENSMUSG00000000915",2,3,1,14,8,1
"ENSMUSG00000000916",1,1,1,0,0,0
"ENSMUSG00000000934",1,0,0,1,0,0
"ENSMUSG00000000938",0,0,0,0,0,0
"ENSMUSG00000000942",0,0,0,0,0,0
"ENSMUSG00000000948",3,5,2,14,21,1
"ENSMUSG00000000957",3,4,2,1,2,3
"ENSMUSG00000000958",0,0,0,0,0,0
"ENSMUSG00000000959",0,0,0,3,4,0
"ENSMUSG00000000976",0,0,1,4,3,0
"ENSMUSG00000000982",0,0,0,1,0,0
"ENSMUSG00000000983",0,0,0,0,0,0
"ENSMUSG00000001016",1,0,1,5,5,2
"ENSMUSG00000001017",2,1,2,3,4,3
"ENSMUSG00000001018",4,1,3,5,1,0
"ENSMUSG00000001020",0,0,1,0,0,1
"ENSMUSG00000001021",0,0,0,0,0,0
"ENSMUSG00000001023",0,0,0,0,0,0
"ENSMUSG00000001025",0,1,0,1,0,1
"ENSMUSG00000001027",0,0,0,1,2,1
"ENSMUSG00000001029",1,0,0,0,1,0
"ENSMUSG00000001034",2,0,0,3,0,0
"ENSMUSG00000001036",4,4,2,8,15,5
"ENSMUSG00000001039",1,0,1,1,3,0
"ENSMUSG00000001052",4,1,1,15,4,8
"ENSMUSG00000001053",1,1,1,2,0,0
"ENSMUSG00000001054",1,0,0,2,4,2
"ENSMUSG00000001056",0,0,0,0,0,0
"ENSMUSG00000001062",2,2,1,6,3,2
"ENSMUSG00000001065",1,1,1,5,0,1
"ENSMUSG00000001076",0,0,0,0,0,0
"ENSMUSG00000001082",0,2,0,0,1,0
"ENSMUSG00000001089",7,6,5,20,13,7
"ENSMUSG00000001095",0,0,0,0,0,0
"ENSMUSG00000001098",6,2,4,0,7,0
"ENSMUSG00000001100",3,5,4,12,11,1
"ENSMUSG00000001103",0,0,0,0,0,1
"ENSMUSG00000001105",1,0,0,7,4,2
"ENSMUSG00000001119",2,1,2,2,3,1
"ENSMUSG00000001120",5,3,0,3,5,2
"ENSMUSG00000001123",1,0,0,1,0,0
"ENSMUSG00000001127",2,2,3,12,6,3
"ENSMUSG00000001128",0,0,0,1,0,0
"ENSMUSG00000001131",0,0,0,0,0,0
"ENSMUSG00000001134",0,1,0,0,0,0
"ENSMUSG00000001138",0,1,3,7,1,1
"ENSMUSG00000001143",0,0,0,2,3,1
"ENSMUSG00000001150",4,3,4,7,4,1
"ENSMUSG00000001151",1,1,1,5,3,1
"ENSMUSG00000001155",0,0,0,0,0,0
"ENSMUSG00000001156",3,1,2,6,1,2
"ENSMUSG00000001157",3,0,2,4,3,2
